waste_type,recycling_rate
Construction Debris,99
Used Slag,99
Ferrous Metal,94
Scrap Tyres,83
Non-Ferrous Metal,85
Wood,70
Paper/Cardboard,53
Horticultural Waste,40
Plastics,11
Glass,24
Food,16
Textiles,12
Ash and Sludge,0
Others,1
