waste_type,recycling_rate
Construction Debris,98
Used Slag,99
Ferrous Metal,91
Scrap Tyres,86
Non-Ferrous Metal,82
Wood,52
Paper/Cardboard,51
Horticultural Waste,41
Plastics,11
Glass,9
Food,9
Textiles,5
Ash and Sludge,0
Others,6
