,waste_type,recycling_rate
70,Construction Debris,94
71,Used Slag,78
72,Ferrous Metal,92
73,Scrap Tyres,64
74,Non-Ferrous Metal,84
75,Wood,38
76,Paper/Cardboard,49
77,Horticultural Waste,51
78,Plastics,13
79,Glass,6
80,Food,7
81,Textiles,4
82,Ash and Sludge,0
83,Others,4
