,waste_type,recycling_rate
168,Construction Debris,99
169,Used Slag,97
170,Ferrous Metal,96
171,Scrap Tyres,88
172,Non-Ferrous Metal,79
173,Wood,69
174,Paper/Cardboard,56
175,Horticultural Waste,44
176,Plastics,10
177,Glass,26
178,Food,12
179,Textiles,11
180,Ash and Sludge,0
181,Others,1
