,waste_type,recycling_rate
126,Construction Debris,98
127,Used Slag,99
128,Ferrous Metal,92
129,Scrap Tyres,83
130,Non-Ferrous Metal,82
131,Wood,72
132,Paper/Cardboard,48
133,Horticultural Waste,39
134,Plastics,9
135,Glass,21
136,Food,13
137,Textiles,12
138,Ash and Sludge,0
139,Others,1
