,waste_type,recycling_rate
84,Construction Debris,98
85,Used Slag,89
86,Ferrous Metal,91
87,Scrap Tyres,81
88,Non-Ferrous Metal,82
89,Wood,37
90,Paper/Cardboard,51
91,Horticultural Waste,38
92,Plastics,12
93,Glass,10
94,Food,8
95,Textiles,4
96,Ash and Sludge,0
97,Others,6
