waste_type,recycling_rate
Construction Debris,93
Used Slag,97
Ferrous Metal,90
Scrap Tyres,49
Non-Ferrous Metal,83
Wood,33
Paper/Cardboard,46
Horticultural Waste,56
Plastics,11
Glass,7
Food,6
Textiles,4
Ash and Sludge,0
Others,10
