waste_type,recycling_rate
Construction Debris,98
Used Slag,99
Ferrous Metal,94
Scrap Tyres,88
Non-Ferrous Metal,85
Wood,71
Paper/Cardboard,48
Horticultural Waste,42
Plastics,9
Glass,18
Food,12
Textiles,12
Ash and Sludge,0
Others,3
