waste_type,recycling_rate
Construction Debris,90
Used Slag,92
Ferrous Metal,94
Scrap Tyres,44
Non-Ferrous Metal,81
Wood,9
Paper/Cardboard,40
Horticultural Waste,28
Plastics,6
Glass,11
Food,6
Textiles,2
Ash and Sludge,0
Others,0
