waste_type,recycling_rate
Construction Debris,98
Used Slag,89
Ferrous Metal,91
Scrap Tyres,81
Non-Ferrous Metal,82
Wood,37
Paper/Cardboard,51
Horticultural Waste,38
Plastics,12
Glass,10
Food,8
Textiles,4
Ash and Sludge,0
Others,6
