waste_type,recycling_rate
Construction Debris,99
Used Slag,99
Ferrous Metal,96
Scrap Tyres,88
Non-Ferrous Metal,80
Wood,80
Paper/Cardboard,52
Horticultural Waste,59
Plastics,9
Glass,20
Food,13
Textiles,11
Ash and Sludge,15
Others,1
