waste_type,recycling_rate
Construction Debris,61
Used Slag,45
Ferrous Metal,92
Scrap Tyres,54
Non-Ferrous Metal,84
Wood,9
Paper/Cardboard,43
Horticultural Waste,42
Plastics,21
Glass,14
Food,1
Textiles,0
Ash and Sludge,0
Others,1
