waste_type,recycling_rate
Construction Debris,98
Used Slag,99
Ferrous Metal,92
Scrap Tyres,83
Non-Ferrous Metal,82
Wood,72
Paper/Cardboard,48
Horticultural Waste,39
Plastics,9
Glass,21
Food,13
Textiles,12
Ash and Sludge,0
Others,1
