waste_type,recycling_rate
Construction Debris,94
Used Slag,92
Ferrous Metal,93
Scrap Tyres,43
Non-Ferrous Metal,81
Wood,19
Paper/Cardboard,43
Horticultural Waste,39
Plastics,7
Glass,9
Food,6
Textiles,1
Ash and Sludge,0
Others,0
