waste_type,recycling_rate
Construction Debris,85
Used Slag,90
Ferrous Metal,87
Scrap Tyres,59
Non-Ferrous Metal,85
Wood,8
Paper/Cardboard,36
Horticultural Waste,32
Plastics,10
Glass,15
Food,6
Textiles,0
Ash and Sludge,0
Others,0
