waste_type,recycling_rate
Construction Debris,99
Used Slag,97
Ferrous Metal,97
Scrap Tyres,88
Non-Ferrous Metal,84
Wood,77
Paper/Cardboard,54
Horticultural Waste,48
Plastics,11
Glass,20
Food,13
Textiles,10
Ash and Sludge,7
Others,1
