waste_type,recycling_rate
Construction Debris,99
Used Slag,98
Ferrous Metal,95
Scrap Tyres,83
Non-Ferrous Metal,88
Wood,64
Paper/Cardboard,56
Horticultural Waste,37
Plastics,11
Glass,29
Food,10
Textiles,13
Ash and Sludge,0
Others,1
